"","key_new","V1","V2","key_orig","SIG_CD","SIG_ENG_NM","SIG_KOR_NM","CENTROIX","CENTROIY","row","col","geometry"
"3","126.278343872637_33.2645339675159",126.278343872637,33.2645339675159,"126.52754283_33.43690726","50110","Jeju-si","제주시",126.52754283,33.43690726,218,1,list(c(126.178113100447, 126.178113100447, 126.378574644828, 126.378574644828, 126.178113100447, 33.1643031953254, 33.3647647397063, 33.3647647397063, 33.1643031953254, 33.1643031953254))
"10","126.478805417018_33.2645339675159",126.478805417018,33.2645339675159,"126.5814193_33.32475899","50130","Seogwipo-si","서귀포시",126.5814193,33.32475899,219,2,list(c(126.378574644828, 126.378574644828, 126.579036189209, 126.579036189209, 126.378574644828, 33.1643031953254, 33.3647647397063, 33.3647647397063, 33.1643031953254, 33.1643031953254))
"11","126.478805417018_33.4649955118968",126.478805417018,33.4649955118968,"126.74764187_34.30908647","46890","Wando-gun","완도군",126.74764187,34.30908647,200,3,list(c(126.378574644828, 126.378574644828, 126.579036189209, 126.579036189209, 126.378574644828, 33.3647647397063, 33.5652262840873, 33.5652262840873, 33.3647647397063, 33.3647647397063))
"21","126.679266961399_33.4649955118968",126.679266961399,33.4649955118968,"128.61973348_34.86626699","48310","Geoje-si","거제시",128.61973348,34.86626699,71,4,list(c(126.579036189209, 126.579036189209, 126.77949773359, 126.77949773359, 126.579036189209, 33.3647647397063, 33.5652262840873, 33.5652262840873, 33.3647647397063, 33.3647647397063))
"37","126.87972850578_33.4649955118968",126.87972850578,33.4649955118968,"129.03168463_35.10661587","26110","Jung-gu","중구",129.03168463,35.10661587,125,5,list(c(126.77949773359, 126.77949773359, 126.979959277971, 126.979959277971, 126.77949773359, 33.3647647397063, 33.5652262840873, 33.5652262840873, 33.3647647397063, 33.3647647397063))
"4","126.278343872637_34.4673032338018",126.278343872637,34.4673032338018,"126.24161365_34.45903835","46900","Jindo-gun","진도군",126.24161365,34.45903835,201,6,list(c(126.178113100447, 126.178113100447, 126.378574644828, 126.378574644828, 126.178113100447, 34.3670724616113, 34.5675340059923, 34.5675340059923, 34.3670724616113, 34.3670724616113))
"12","126.478805417018_34.4673032338018",126.478805417018,34.4673032338018,"126.52484023_34.54318581","46820","Haenam-gun","해남군",126.52484023,34.54318581,194,7,list(c(126.378574644828, 126.378574644828, 126.579036189209, 126.579036189209, 126.378574644828, 34.3670724616113, 34.5675340059923, 34.5675340059923, 34.3670724616113, 34.3670724616113))
"22","126.679266961399_34.4673032338018",126.679266961399,34.4673032338018,"126.77113879_34.62316247","46810","Gangjin-gun","강진군",126.77113879,34.62316247,193,8,list(c(126.579036189209, 126.579036189209, 126.77949773359, 126.77949773359, 126.579036189209, 34.3670724616113, 34.5675340059923, 34.5675340059923, 34.3670724616113, 34.3670724616113))
"38","126.87972850578_34.4673032338018",126.87972850578,34.4673032338018,"127.16020784_34.81365058","46780","Boseong-gun","보성군",127.16020784,34.81365058,190,9,list(c(126.77949773359, 126.77949773359, 126.979959277971, 126.979959277971, 126.77949773359, 34.3670724616113, 34.5675340059923, 34.5675340059923, 34.3670724616113, 34.3670724616113))
"93","127.481113138923_34.4673032338018",127.481113138923,34.4673032338018,"128.38352491_34.87302314","48220","Tongyeong-si","통영시",128.38352491,34.87302314,67,10,list(c(127.380882366732, 127.380882366732, 127.581343911113, 127.581343911113, 127.380882366732, 34.3670724616113, 34.5675340059923, 34.5675340059923, 34.3670724616113, 34.3670724616113))
"5","126.278343872637_34.6677647781828",126.278343872637,34.6677647781828,"126.40455217_34.81271692","46110","Mokpo-si","목포시",126.40455217,34.81271692,181,11,list(c(126.178113100447, 126.178113100447, 126.378574644828, 126.378574644828, 126.178113100447, 34.5675340059923, 34.7679955503732, 34.7679955503732, 34.5675340059923, 34.5675340059923))
"23","126.679266961399_34.6677647781828",126.679266961399,34.6677647781828,"126.62820339_34.79892909","46830","Yeongam-gun","영암군",126.62820339,34.79892909,195,12,list(c(126.579036189209, 126.579036189209, 126.77949773359, 126.77949773359, 126.579036189209, 34.5675340059923, 34.7679955503732, 34.7679955503732, 34.5675340059923, 34.5675340059923))
"39","126.87972850578_34.6677647781828",126.87972850578,34.6677647781828,"126.92281875_34.67712004","46800","Jangheung-gun","장흥군",126.92281875,34.67712004,192,13,list(c(126.77949773359, 126.77949773359, 126.979959277971, 126.979959277971, 126.77949773359, 34.5675340059923, 34.7679955503732, 34.7679955503732, 34.5675340059923, 34.5675340059923))
"74","127.280651594542_34.6677647781828",127.280651594542,34.6677647781828,"127.31445974_34.60617548","46770","Goheung-gun","고흥군",127.31445974,34.60617548,189,14,list(c(127.180420822351, 127.180420822351, 127.380882366732, 127.380882366732, 127.180420822351, 34.5675340059923, 34.7679955503732, 34.7679955503732, 34.5675340059923, 34.5675340059923))
"1","126.077882328256_34.8682263225637",126.077882328256,34.8682263225637,"126.06079542_34.83915952","46910","Sinan-gun","신안군",126.06079542,34.83915952,202,15,list(c(125.977651556066, 125.977651556066, 126.178113100447, 126.178113100447, 125.977651556066, 34.7679955503732, 34.9684570947542, 34.9684570947542, 34.7679955503732, 34.7679955503732))
"6","126.278343872637_34.8682263225637",126.278343872637,34.8682263225637,"126.42294509_34.95657948","46840","Muan-gun","무안군",126.42294509,34.95657948,196,16,list(c(126.178113100447, 126.178113100447, 126.378574644828, 126.378574644828, 126.178113100447, 34.7679955503732, 34.9684570947542, 34.9684570947542, 34.7679955503732, 34.7679955503732))
